Province,Shannon_Index,Species_Richness,Total_Occurrences,Evenness_Index,Top_Species_1,Top_Species_1_Count,Top_Species_2,Top_Species_2_Count,Top_Species_3,Top_Species_3_Count
Maluku Utara,0.0,1,1,0.0,Gehyra marginata,1,,,,
Lampung,0.0,1,2,0.0,Surniculus lugubris,2,,,,
Aceh,2.5400363038209806,13,14,0.9902871167541444,Catharanthus roseus,2,Hypolimnas bolina,1.0,Ruellia tuberosa,1.0
Yogyakarta,2.253857589601352,10,12,0.9788379141596312,Papilio demoleus,2,Orthetrum sabina,2.0,Tridax procumbens,1.0
Nusa Tenggara Timur,2.4307913288782323,12,15,0.9782223928152854,Orthetrum schneideri,2,Neurothemis ramburii,2.0,Duttaphrynus melanostictus,2.0
Jawa Tengah,3.3652139277812045,33,46,0.9624500644207933,Pycnonotus aurigaster,4,Pericrocotus cinnamomeus,4.0,Nycticorax nycticorax,3.0
Bali,4.092980615703387,65,79,0.9804985381257438,Pycnonotus goiavier,4,Hypselodoris paradisa,3.0,Hypselodoris roo,3.0
Jakarta Raya,2.730633212389677,17,21,0.9637937143414416,Lanius schach,3,Neurothemis feralis,3.0,Annona squamosa,1.0
Jawa Barat,1.6094379124341005,5,5,1.0000000000000002,Drosophantis caeruleata,1,Lygosoma quadrupes,1.0,Diplacodes trivialis,1.0
Nusa Tenggara Barat,2.2450352741261774,10,13,0.975006431231153,Spigelia anthelmia,2,Lumnitzera racemosa,2.0,Protoreaster nodosus,2.0
Jambi,1.7478680974667573,6,7,0.9755037590061084,Boraras maculatus,2,Rasbora argyrotaenia,1.0,Rasbora trilineata,1.0
Kalimantan Timur,1.7917594692280547,6,6,0.9999999999999999,Rhyothemis phyllis,1,Geopelia striata,1.0,Varanus salvator,1.0
Sulawesi Tengah,3.0280290733074104,21,22,0.994582610326122,Hypolycaena sipylus,2,Oryzias nigrimas,1.0,Nomorhamphus rex,1.0
Kalimantan Tengah,1.6094379124341005,5,5,1.0000000000000002,Pseudobufo subasper,1,Pulchrana baramica,1.0,Wallago leerii,1.0
Sulawesi Utara,2.997068727089017,21,25,0.9844134140558708,Aplonis panayensis,2,Lissachatina fulica,2.0,Papilio gigon,2.0
Papua Barat,0.0,1,1,0.0,Philemon buceroides,1,,,,
Jawa Timur,0.6931471805599453,2,2,1.0,Calotes versicolor,1,Duttaphrynus melanostictus,1.0,,
Sumatera Barat,0.0,1,3,0.0,Lissachatina fulica,3,,,,
Sumatera Utara,0.0,1,1,0.0,Malayopython reticulatus,1,,,,
Riau,0.0,1,1,0.0,Hypolimnas bolina,1,,,,
