species,test_accuracy,auc_score,n_presences,n_training_points,n_predictions,top_environmental_factor,top_factor_importance
Passer montanus,0.9845183486238532,0.899426217131517,8584,8717,3112,slope,0.059442656118676857
Spilopelia chinensis,0.9814569536423841,0.939674333807847,7414,7549,3112,bio14,0.08075639900752016
Todiramphus chloris,0.9799839871897518,0.9164696611505122,6109,6244,3112,bio4,0.09784657231637334
Pycnonotus goiavier,0.9775561097256857,0.9473556231003039,5872,6012,3112,bio4,0.10799825300588654
Hirundo tahitica,0.9743833017077799,0.798622380900862,5133,5270,3112,bio4,0.08419626027394235
Collocalia linchi,0.9955703211517165,0.9976938775510205,4372,4513,3112,distance_to_coast,0.3074417307060445
Lonchura punctulata,0.9743842364532019,0.9628879892037786,4937,5074,3112,bio15,0.09712104989676221
Collocalia esculenta,0.9527272727272728,0.9630541871921181,2605,2746,3112,bio18,0.07266411259175769
Ardeola speciosa,0.9797377830750894,0.9749207327813986,4052,4191,3112,distance_to_coast,0.22358420656775696
Artamus leucoryn,0.9661016949152542,0.8595930097807446,3992,4127,3112,bio15,0.11215909396260282
Haliastur indus,0.9593613933236574,0.875540306894316,3303,3444,3112,bio18,0.09154801630224206
Geopelia striata,0.9644381223328592,0.9503174603174603,3373,3513,3112,distance_to_coast,0.12889896458244407
Lonchura leucogastroides,0.9920739762219286,0.9900303742896335,3645,3785,3112,distance_to_coast,0.2551323049444802
Actitis hypoleucos,0.9582712369597616,0.872806043101533,3215,3354,3112,population_density,0.0650749732928924
Egretta garzetta,0.9482470784641068,0.895327745809357,2854,2994,3112,bio14,0.08048052223052272
Bubulcus coromandus,0.9541284403669725,0.936515612047527,2581,2722,3112,bio14,0.0992612989729548
Anthreptes malacensis,0.9481216457960644,0.8450292397660819,2660,2795,3112,distance_to_coast,0.12477913241350491
Cacomantis variolosus,0.9419354838709677,0.9078130107878393,2184,2324,3112,distance_to_coast,0.05515873260621871
Geoffroyus geoffroyi,0.9476439790575916,0.9690274414850688,1768,1910,3112,population_density,0.24503007640153826
Amaurornis phoenicurus,0.949438202247191,0.9205251270468662,2530,2670,3112,bio15,0.09178955139440634
Orthotomus sepium,0.985981308411215,0.9911160714285714,1997,2139,3112,distance_to_coast,0.24527121946284233
Leptocoma sericea,0.9546485260770975,0.9630750605326877,2062,2204,3112,population_density,0.12573094275895083
Aegithina tiphia,0.953125,0.957780612244898,2096,2236,3112,bio3,0.14388398940174243
Oriolus chinensis,0.9429280397022333,0.9149523809523809,1873,2014,3112,distance_to_coast,0.0978912345578527
Rhyticeros plicatus,0.9401709401709402,0.9525594345684301,1609,1752,3112,population_density,0.16065433767603485
Aerodramus fuciphagus,0.9356435643564357,0.9380699088145896,1876,2018,3112,bio15,0.100861524244038
Ardea purpurea,0.9438202247191011,0.8686193902021241,2085,2224,3112,distance_to_coast,0.14690670211042386
Culex quinquefasciatus,0.7538461538461538,0.807471264367816,178,322,3112,population_density,0.09217966674142812
Treron vernans,0.9454976303317536,0.9476069615663524,1967,2109,3112,bio4,0.14176732713635765
Merops philippinus,0.9473684210526315,0.9438089416695774,2041,2183,3112,bio12,0.10485071157661828
Rhipidura javanica,0.9510309278350515,0.9515873015873015,1795,1937,3112,bio4,0.1345862883326866
Gerygone sulphurea,0.9327731092436975,0.9474598349978289,1640,1782,3112,bio14,0.1073124205257493
Philemon buceroides,0.9396825396825397,0.9654678944748631,1431,1573,3112,population_density,0.17638961033586292
Butorides striata,0.9345088161209067,0.8432539682539684,1842,1984,3112,bio4,0.08626244893869758
Gekko gecko,0.9767676767676767,0.9546888921888923,4808,4948,3112,bio3,0.16870180276361918
Aerodramus vanikorensis,0.9421221864951769,0.9632130237253912,1413,1555,3112,population_density,0.09727065877563408
Rhipidura leucophrys,0.96875,0.9683641975308642,1618,1760,3112,population_density,0.21323156492577858
Hirundo rustica,0.9340909090909091,0.819388395659582,2060,2196,3112,bio14,0.08581133531459484
Ardea alba,0.9214092140921409,0.8817553414327608,1703,1844,3112,bio15,0.08260068460166112
Eclectus roratus,0.9217687074829932,0.9374756018217306,1327,1470,3112,population_density,0.15657133355783842
Macropygia doreya,0.9377289377289377,0.9790842283776146,1218,1361,3112,population_density,0.08611452092603916
Thalasseus bergii,0.9456264775413712,0.9298372513562387,1972,2111,3112,bio2,0.11152443777997924
Ducula aenea,0.9111842105263158,0.9118141821946171,1376,1516,3112,distance_to_coast,0.09741144118306588
Cisticola juncidis,0.9470899470899471,0.9533163265306123,1746,1886,3112,bio14,0.1073156623576696
Cacomantis merulinus,0.9462686567164179,0.9594320486815415,1530,1673,3112,bio4,0.12724856680396415
Hypothymis azurea,0.91875,0.863747553816047,1460,1600,3112,distance_to_coast,0.0817898211726403
Dicaeum trochileum,0.9693593314763231,0.9815494173500215,1653,1794,3112,distance_to_coast,0.23733408240319454
Hemiprocne longipennis,0.9318885448916409,0.8930992736077483,1475,1614,3112,bio4,0.11546021078035214
Ptilinopus melanospilus,0.9390243902439024,0.9511309523809524,1497,1638,3112,distance_to_coast,0.13454900497591124
Todiramphus sanctus,0.9305912596401028,0.9238227146814404,1805,1945,3112,bio18,0.07186755957083302
Centropus bengalensis,0.9325581395348838,0.8734896943852167,2007,2147,3112,bio17,0.08951921876289681
Lalage sueurii,0.9565217391304348,0.966764308246958,1583,1724,3112,bio14,0.1271973049156211
Saxicola caprata,0.9666666666666667,0.9714931153184165,1658,1799,3112,bio7,0.07929194505222474
Psilopogon haemacephalus,0.9511400651465798,0.9855350742447516,1392,1534,3112,bio15,0.13323392664884665
Aplonis metallica,0.9655172413793104,0.9768266085059978,1305,1447,3112,population_density,0.19739993492287233
Eurystomus orientalis,0.9156626506024096,0.8664826127819549,1516,1657,3112,bio18,0.07871848923818149
